Position,Title,Artists,Duration,Genre,Year,Album,Track ID,Duration_sec,Duration_group
60,Most Valuable Pirate,FRIENDLY THUG 52 NGG,1:48,rusrap,2025,Graf Monte-Cristo / Most Valuable Pirate,138562785,108,<2 мин
61,Руки у руля,itgmq Brazil,2:04,electronics,2025,Руки у руля,137950115,124,2-3 мин
62,Спокойной ночи,"MACAN, Kiliana",2:28,rusrap,2025,Спокойной ночи,137990603,148,2-3 мин
63,Бензобак,"PHARAOH, JEEMBO",2:25,rusrap,2025,10:13,138670451,145,2-3 мин
64,ЗА БЫВШЕГО,Люся Чеботина,2:49,ruspop,2024,ЗА БЫВШЕГО,126208185,169,2-3 мин
65,Не получается,NЮ,2:34,ruspop,2025,Не получается,138183333,154,2-3 мин
66,Skyscraper,"FRIENDLY THUG 52 NGG, Markul",2:40,rusrap,2025,Graf Monte-Cristo / Most Valuable Pirate,138562790,160,2-3 мин
67,Как быть,"BITTUEV, NANSI & SIDOROV",2:35,ruspop,2024,Как быть,128501513,155,2-3 мин
68,It's My Life,"Дима Билан, Мари Краймбрери",3:02,ruspop,2024,It's My Life,125739644,182,3-4 мин
69,Настоящая,Ваня Дмитриенко,2:22,ruspop,2025,Настоящая,138070887,142,2-3 мин
70,Вторая весна (OST «Ландыши. Такая нежная любовь»),"Женя Трофимов, NANSI & SIDOROV",3:30,rusrock,2024,Вторая весна (OST «Ландыши. Такая нежная любовь»),133369215,210,3-4 мин
71,Дорога дальняя,Jakone,2:22,rusrap,2024,Дорога дальняя,122944817,142,2-3 мин
72,Горы (Remix),BLIZKEY,2:18,ruspop,2024,Горы (Remixes),126551623,138,2-3 мин
73,Один в поле воин,BEARWOLF,2:04,ruspop,2024,Один в поле воин,128883665,124,2-3 мин
74,Харизма,Wallem,2:16,rusrap,2024,Харизма,123534785,136,2-3 мин
75,Последняя Любовь,MORGENSHTERN,2:42,rusrock,2024,Последняя Любовь,123450076,162,2-3 мин
76,Chuchuka,Big Baby Tape,2:19,rusrap,2024,Chuchuka,134030524,139,2-3 мин
77,Можно я с тобой,DVN,2:12,alternative,2022,Можно я с тобой,113755321,132,2-3 мин
78,Были бы крылья,Merab Amzoevi,3:01,ruspop,2024,Временно,123243660,181,3-4 мин
79,Крошка моя,Руки Вверх!,4:10,pop,2023,23 февраля,50039923,250,4-5 мин
80,Я эту жизнь тебе отдам,Филипп Киркоров,3:29,rusestrada,2007,For You...,31017292,209,3-4 мин
81,Graf Monte-Cristo,FRIENDLY THUG 52 NGG,2:30,rusrap,2025,Graf Monte-Cristo / Most Valuable Pirate,138562782,150,2-3 мин
82,BOSS,INSTASAMKA,2:26,ruspop,2025,BOSS,138562177,146,2-3 мин
83,ASPHALT 8,MACAN,2:15,rusrap,2023,ASPHALT 8,112632320,135,2-3 мин
84,КАБЛУК,Люся Чеботина,3:13,ruspop,2025,КАБЛУК,138218470,193,3-4 мин
85,"ДОМ (Лондон, Прага, Ницца)",MORGENSHTERN,2:33,rusrock,2025,ALISHER,136144545,153,2-3 мин
86,По барам,ANNA ASTI,3:57,ruspop,2022,Феникс (Делюкс),104964266,237,3-4 мин
87,КРАСИВА,lil Kidd,1:42,rusrap,2025,Saint Sophia,135396480,102,<2 мин
88,2021,FRIENDLY THUG 52 NGG,2:07,rusrap,2025,Graf Monte-Cristo / Most Valuable Pirate,138562791,127,2-3 мин
89,Не люби меня,"CHEPIKK, Холла",3:15,ruspop,2025,Не люби меня,134557735,195,3-4 мин
90,Дурак и молния,Король и Шут,1:54,punk,1996,Камнем по голове,29238706,114,<2 мин
91,Supersonic,"Big Baby Tape, Aarne",2:44,rusrap,2024,PEEKABOO,127365613,164,2-3 мин
92,Плывёт веночек,Надежда Кадышева,2:15,rusfolk,2006,Моя любовь,33201961,135,2-3 мин
93,Плохо/По….й,"KEDR, Fancy Cat",1:51,rusrap,2025,Гостинг,135196350,111,<2 мин
94,Мой ненаглядный,КАЗАКИ ДЕЛАЮТ ХИТЫ,3:43,ruspop,2024,Мой ненаглядный,131901454,223,3-4 мин
95,А река течёт,Любэ,2:41,rusestrada,2022,Своё,77876800,161,2-3 мин
96,Сериал,Сова,2:37,local-indie,2025,Сериал,136853165,157,2-3 мин
97,"Женщина, которая любит","Гио Пика, Кравц",2:48,rusrap,2025,Одна минута лета,138389977,168,2-3 мин
98,волна,тима ищет свет,3:10,local-indie,2021,зеркало,79790133,190,3-4 мин
99,О Yeah,Инь-Ян,3:36,ruspop,2021,Лучшее,54268794,216,3-4 мин
100,Sorry Mama Ama Still Sniper,FRIENDLY THUG 52 NGG,1:58,rusrap,2025,Graf Monte-Cristo / Most Valuable Pirate,138562783,118,<2 мин
